Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,268497067,0,A,1000,140500,G,
0.0,,Insert,268497071,0,A,8000,140500,G,
0.0,,Insert,268497291,0,A,1000,140500,G,
0.0,,Insert,268497559,0,B,2000,106400,G,
0.0,,Cancel,268497291,,,-1000,,,
0.0,,Cancel,268497559,,,-2000,,,
0.0,,Insert,268497883,0,B,2000,106500,G,
0.0,,Insert,268498071,0,B,1000,139800,G,
0.0,,Insert,268500499,0,A,1000,140700,G,
0.0,,Insert,268500783,0,A,2000,140700,G,
0.0,,Insert,268500795,0,A,1000,140800,G,
0.0,,Cancel,268500795,,,-1000,,,
0.0,,Insert,268500927,0,A,1000,140800,G,
0.0,,Insert,268500939,0,A,780,140500,G,
0.0,,Insert,268500955,0,A,1000,140500,G,
0.0,,Cancel,268500927,,,-1000,,,
0.0,,Insert,268501375,0,A,1000,140500,G,
0.0,,Insert,268501707,0,A,1000,140800,G,
0.0,,Cancel,268501707,,,-1000,,,
0.0,,Insert,268501831,0,A,1000,140500,G,
0.0,,Cancel,268500955,,,-1000,,,
0.0,,Insert,268502199,0,B,8000,140300,G,
0.0,,Cancel,268500939,,,-780,,,
0.0,,Insert,268502203,0,B,780,140300,G,
0.0,,Insert,268502207,0,B,1000,140300,G,
0.0,,Cancel,268501375,,,-1000,,,
0.0,,Cancel,268497067,,,-1000,,,
0.0,,Insert,268502319,0,B,1000,140300,G,
0.0,,Cancel,268500783,,,-2000,,,
0.0,,Cancel,268497071,,,-8000,,,
0.0,,Insert,268502331,0,B,2000,140000,G,
0.0,,Cancel,268502319,,,-1000,,,
0.0,,Cancel,268502207,,,-1000,,,
0.0,,Insert,268502491,0,B,1000,140300,G,
0.0,,Cancel,268502199,,,-8000,,,
0.0,,Cancel,268502491,,,-1000,,,
0.0,,Insert,268503795,0,A,1000,140500,G,
0.0,,Insert,268503955,0,B,8000,140300,G,
0.0,,Insert,268503959,0,B,1000,110700,G,
0.0,,Insert,268503963,0,A,1000,170100,G,
0.0,,Insert,268503967,0,A,1000,142000,G,
0.0,,Insert,268504379,0,B,1000,138800,G,
0.0,,Insert,268504823,0,A,8000,140500,G,
0.0,,Insert,268504827,0,B,1000,140300,G,
0.0,,Insert,268504831,0,A,1000,140500,G,
0.0,,Insert,268505179,0,A,1000,140500,G,
0.0,,Cancel,268505179,,,-1000,,,
0.0,,Insert,268506543,0,A,1000,140500,G,
0.0,,Cancel,268502331,,,-2000,,,
0.0,,Cancel,268502203,,,-780,,,
0.0,,Insert,268507479,0,B,790,140300,G,
0.0,,Cancel,268507479,,,-790,,,
0.0,,Cancel,268503955,,,-8000,,,
0.0,,Insert,268508907,0,B,8000,140300,G,
0.0,,Insert,268509983,0,B,790,140300,G,
0.0,,Cancel,268506543,,,-1000,,,
0.0,,Insert,268510043,0,B,2000,140000,G,
0.0,,Insert,268512611,0,A,1000,140500,G,
0.0,,Cancel,268500499,,,-1000,,,
0.0,,Insert,268514387,0,A,2000,141700,G,
0.0,,Cancel,268510043,,,-2000,,,
0.0,,Cancel,268509983,,,-790,,,
0.0,,Insert,268514763,0,B,800,140300,G,
0.0,,Insert,268515079,0,A,1000,140700,G,
0.0,,Cancel,268514763,,,-800,,,
0.0,,Cancel,268508907,,,-8000,,,
0.0,,Insert,268516595,0,A,800,140500,G,
0.0,,Cancel,268514387,,,-2000,,,
