Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,Shoottheplane_375624,Tick,0,0,0,0,,,0,0,0,OK
3e-06,AlgoPro_115,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Cocrew_801,Tick,0,0,0,0,,,0,0,0,OK
3e-06,NancyPelosiCapital_38464,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Ticinfo_666,Tick,0,0,0,0,,,0,0,0,OK
3e-06,YipYangYo_314159,Tick,0,0,0,0,,,0,0,0,OK
3e-06,LionsofPontstreet_102019,Tick,0,0,0,0,,,0,0,0,OK
3e-06,trAIders_1,Tick,0,0,0,0,,,0,0,0,OK
0.271288,Shoottheplane_375624,Tick,0,0,0,0,126400,,0,0,0,OK
0.271288,AlgoPro_115,Tick,0,10,-10,10,126400,,4294967,21469277033,21469277033,OK
0.271288,Cocrew_801,Tick,0,0,0,0,126400,,0,0,0,OK
0.271288,NancyPelosiCapital_38464,Tick,10,0,10,0,126400,,-2147484,-21472688516,-21472688516,OK
0.271288,Ticinfo_666,Tick,0,0,0,0,126400,,0,0,0,OK
0.271288,YipYangYo_314159,Tick,0,0,0,0,126400,,0,0,0,OK
0.271288,LionsofPontstreet_102019,Tick,0,0,0,0,126400,,0,0,0,OK
0.271288,trAIders_1,Tick,0,1,-1,1,126400,,-13,-87,-87,OK
0.463588,Shoottheplane_375624,Tick,0,0,0,0,126400,,0,0,0,OK
0.463588,AlgoPro_115,Tick,10,10,0,0,126400,,4295220,21469275780,21469275780,OK
0.463588,Cocrew_801,Tick,0,0,0,0,126400,,0,0,0,OK
0.463588,NancyPelosiCapital_38464,Tick,10,0,10,0,126400,,-2147484,-21472688516,-21472688516,OK
0.463588,Ticinfo_666,Tick,0,0,0,0,126400,,0,0,0,OK
0.463588,YipYangYo_314159,Tick,0,0,0,0,126400,,0,0,0,OK
0.463588,LionsofPontstreet_102019,Tick,0,0,0,0,126400,,0,0,0,OK
0.463588,trAIders_1,Tick,0,11,-11,11,126400,,-139,-961,-961,OK
0.771763,Shoottheplane_375624,Tick,0,29,-29,29,126600,,734,2166,2166,OK
0.771763,AlgoPro_115,Tick,10,30,-20,20,126600,,4295346,21469277654,21469277654,OK
0.771763,Cocrew_801,Tick,0,0,0,0,126600,,0,0,0,OK
0.771763,NancyPelosiCapital_38464,Tick,10,0,10,0,126600,,-2147484,-21472688516,-21472688516,OK
0.771763,Ticinfo_666,Tick,0,0,0,0,126600,,0,0,0,OK
0.771763,YipYangYo_314159,Tick,0,0,0,0,126600,,0,0,0,OK
0.771763,LionsofPontstreet_102019,Tick,0,10,-10,10,126600,,-127,1127,1127,OK
0.771763,trAIders_1,Tick,0,61,-61,61,126600,,-772,4672,4672,OK
0.956943,Shoottheplane_375624,Tick,0,29,-29,29,126600,,734,2166,2166,OK
0.956943,AlgoPro_115,Tick,20,30,-10,10,126600,,4295599,21469276401,21469276401,OK
0.956943,Cocrew_801,Tick,0,0,0,0,126600,,0,0,0,OK
0.956943,NancyPelosiCapital_38464,Tick,10,0,10,0,126600,,-2147484,-21472688516,-21472688516,OK
0.956943,Ticinfo_666,Tick,0,0,0,0,126600,,0,0,0,OK
0.956943,YipYangYo_314159,Tick,0,0,0,0,126600,,0,0,0,OK
0.956943,LionsofPontstreet_102019,Tick,0,20,-20,20,126600,,-254,254,254,OK
0.956943,trAIders_1,Tick,0,61,-61,61,126600,,-772,4672,4672,OK
1.258459,Shoottheplane_375624,Tick,0,29,-29,29,126300,126700,734,2166,9503,OK
1.258459,AlgoPro_115,Tick,30,40,-10,10,126300,126700,4295345,21469276655,21469279185,OK
